Zone géographique,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
National,9.7,9.4,10.2,9.5,9.2,11.9,12.3,11.8,13,13.3
    Tanger-Tétouan-Al Hoceima,10.7,9.6,8.2,7.5,8.6,10.4,10.4,9.7,10.1,10.2
    Oriental,15,15.7,17.1,15.6,13.8,20.7,18.1,17.4,19.6,20.9
    Fès-Meknès,8.6,7.6,9.5,9.3,8.7,12.5,13.4,13.5,14.2,14.4
    Rabat-Salé-Kénitra,10,10.8,12.9,11.4,10.7,12.7,12.2,11,11.6,12.6
    Béni Mellal-Khénifra,6.6,7.1,6.1,5.8,5.4,7.4,9.6,10.5,12.8,12.5
    Casablanca-Settat,10,9.3,11.3,10.2,10,13.4,14.6,13.8,15,15
    Marrakech-Safi,7.4,7.4,7.2,6.9,5.7,6.9,7.6,6.9,7.7,8.9
    Drâa-Tafilalet,7.2,6.9,6,5.3,5.6,8.9,9.6,9.7,11.9,10.7
    Souss-Massa,10.1,9,9.8,10.1,10.3,11.8,11.3,11.4,13.5,12.3
    Guelmim-Oued Noun,16.5,15.9,17.7,14.7,16.3,19.8,20.1,20.1,20.3,22.2
    Laayoune-Sakia El Hamra,16.5,15.9,12.3,14.7,16.3,19.8,20.1,20.1,20.3,22.2
    Eddakhla-Oued Eddahab,16.5,15.9,7.4,14.7,16.3,19.8,20.1,20.1,20.3,22.2
