Zone géographique,2004,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
National,29891708,33610084,34124870,34486536,34852121,35219547,35586616,35951657,36313189,36670216,37022385,36828330,37712153,38049577,38381174,38705839,39022517,39329985
    Tanger-Tétouan-Al Hoceima,,3556729,3591292,3635742,3680455,3725195,3769720,3813852,3857439,3900365,3942577,4030222,4024888,4064964,4103751,4142538,4179813,4215895
    Oriental,,2309417,2331198,2354056,2377826,2402374,2427547,2453229,2479317,2505730,2532440,2294665,2586697,2614211,2641904,2669683,2697455,2725106
    Fès-Meknès,,4229579,4258822,4288494,4318295,4347958,4377214,4405862,4433716,4460667,4486674,4467911,4535885,4559080,4581240,4602243,4621969,4640286
    Rabat-Salé-Kénitra,,4569885,4619414,4669384,4719478,4769423,4818923,4867744,4915673,4962561,5008353,5132639,5096599,5139017,5180172,5219904,5258061,5294469
    Béni Mellal-Khénifra,,2516676,2532789,2549118,2565477,2581703,2597629,2613137,2628133,2642554,2656384,2525801,2682329,2694450,2705961,2716798,2726904,2736214
    Casablanca-Settat,,6842255,6934558,7028251,7122876,7218021,7313256,7408213,7502556,7596040,7688562,7688967,7870564,7959946,8048020,8134513,8219152,8301621
    Marrakech-Safi,,4510691,4554780,4599241,4643728,4687947,4731580,4774413,4816267,4857033,4896681,4892393,4972729,5009145,5044413,5078422,5111078,5142271
    Drâa-Tafilalet,,1632418,1642644,1653027,1663440,1673773,1683912,1693786,1703334,1712526,1721357,1655623,1737992,1745810,1753276,1760354,1767020,1773240
    Souss-Massa,,2657906,2704740,2741220,2778770,2817200,2856370,2896150,2936430,2977130,3018230,3020431,3101620,3143910,3186510,3229330,3272280,3315230
    Guelmim-Oued Noun,,433166,435230,437376,439576,441800,444025,446225,448382,450486,452529,448685,456438,458299,460087,461789,463391,464878
    Laayoune-Sakia El Hamra,,366631,372034,377566,383195,388902,394658,400442,406230,412005,417756,451028,429162,434803,440386,445890,451296,456582
    Eddakhla-Oued Eddahab,,141981,147377,153051,159008,165250,171780,178600,185715,193127,200847,219965,217245,225944,234985,244370,254101,264178
