Zone géographique,2015,2016,2017,2018,2019,2020,2021,2022,2023
National,100,100,100,100,100,100,100,100,100
    Tanger-Tétouan-Al Hoceima,10,10.2,10.5,10.8,11,10.6,10.5,10.5,10.6
    Oriental,4.8,4.8,4.9,4.9,5.3,5.3,5.3,5.1,5
    Fès-Meknès,9,9,8.7,8.4,8,7.9,8.2,7.9,8.4
    Rabat-Salé-Kénitra,16,16,16.2,15.6,15.8,16.3,15.9,16.1,15.7
    Béni Mellal-Khénifra,5.9,5.7,5.8,5.7,5.6,5.4,5.7,6.2,5.4
    Casablanca-Settat,32.1,32,32,32.3,32.2,32.6,32.4,31.3,32.2
    Marrakech-Safi,8.9,8.6,8.5,8.4,8.5,7.7,7.9,8.3,8.5
    Drâa-Tafilalet,2.6,2.6,2.5,2.5,2.8,2.9,3.0,3,2.8
    Souss-Massa,6.6,6.7,6.6,6.7,6.4,6.2,6.3,6.6,6.6
    Guelmim-Oued Noun,1.3,1.4,1.4,1.4,1.4,1.6,1.5,1.5,1.4
    Laayoune-Sakia El Hamra,1.5,1.5,1.6,1.7,1.7,2.1,2.1,2.2,2.1
    Eddakhla-Oued Eddahab,1.1,1.1,1.3,1.3,1.2,1.2,1.2,1.2,1.3
